Datum,Zeit,Adr,ID-Nr.,HST,Nr.,Wert,Einheit,Beschreibung,Art,Modul,SP-Nr.,Tarif
01.04.10,00:00,2,4,GWF,8,2534,hours,operating time,instant.,0,0,0
01.04.10,00:00,2,4,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.04.10,00:00,2,4,GWF,10,0,kW,power,instant.,0,0,0
01.04.10,00:00,2,4,GWF,11,31.03.10 23:50 Win  V,,time point,instant.,0,0,0
01.04.10,00:00,2,4,GWF,12,1851,HCA,HCA-Unit,instant.,1,0,0
01.04.10,00:00,2,4,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.04.10,00:00,2,4,GWF,14,0,kWh,energy,instant.,0,1,0
01.04.10,00:00,2,4,GWF,15,0,m^3,volume,instant.,0,1,0
01.04.10,00:00,2,4,GWF,16,0,m^3,volume,instant.,1,1,0
01.04.10,00:00,2,4,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.04.10,00:00,2,4,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.04.10,00:00,2,4,GWF,19,00.00.00,,time point,instant.,0,1,0
01.04.10,00:00,2,4,GWF,20,$00,,M-Bus state,,,,
01.04.10,00:00,4,5,GWF,1,4700,kWh,energy,instant.,0,0,0
01.04.10,00:00,4,5,GWF,2,793.66,m^3,volume,instant.,0,0,0
01.04.10,00:00,4,5,GWF,3,776.04,m^3,volume,instant.,1,0,0
01.04.10,00:00,4,5,GWF,4,30,°C,flow temperature,instant.,0,0,0
01.04.10,00:00,4,5,GWF,5,30,°C,return temperature,instant.,0,0,0
01.04.10,00:00,4,5,GWF,6,0,K,temperature difference,instant.,0,0,0
01.04.10,00:00,4,5,GWF,7,2531,hours,on time,instant.,0,0,0
01.04.10,00:00,4,5,GWF,8,2531,hours,operating time,instant.,0,0,0
01.04.10,00:00,4,5,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.04.10,00:00,4,5,GWF,10,0,kW,power,instant.,0,0,0
01.04.10,00:00,4,5,GWF,11,31.03.10 23:49 Win  V,,time point,instant.,0,0,0
01.04.10,00:00,4,5,GWF,12,2082,HCA,HCA-Unit,instant.,1,0,0
01.04.10,00:00,4,5,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.04.10,00:00,4,5,GWF,14,0,kWh,energy,instant.,0,1,0
01.04.10,00:00,4,5,GWF,15,0,m^3,volume,instant.,0,1,0
01.04.10,00:00,4,5,GWF,16,0,m^3,volume,instant.,1,1,0
01.04.10,00:00,4,5,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.04.10,00:00,4,5,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.04.10,00:00,4,5,GWF,19,00.00.00,,time point,instant.,0,1,0
01.04.10,00:00,4,5,GWF,20,$00,,M-Bus state,,,,
01.04.10,00:00,3,9,GWF,1,6151,kWh,energy,instant.,0,0,0
01.04.10,00:00,3,9,GWF,2,502.04,m^3,volume,instant.,0,0,0
01.04.10,00:00,3,9,GWF,3,493.49,m^3,volume,instant.,1,0,0
01.04.10,00:00,3,9,GWF,4,34,°C,flow temperature,instant.,0,0,0
01.04.10,00:00,3,9,GWF,5,30,°C,return temperature,instant.,0,0,0
01.04.10,00:00,3,9,GWF,6,3.3,K,temperature difference,instant.,0,0,0
01.04.10,00:00,3,9,GWF,7,2532,hours,on time,instant.,0,0,0
01.04.10,00:00,3,9,GWF,8,2532,hours,operating time,instant.,0,0,0
01.04.10,00:00,3,9,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.04.10,00:00,3,9,GWF,10,0,kW,power,instant.,0,0,0
01.04.10,00:00,3,9,GWF,11,31.03.10 23:50 Win  V,,time point,instant.,0,0,0
01.04.10,00:00,3,9,GWF,12,605,HCA,HCA-Unit,instant.,1,0,0
01.04.10,00:00,3,9,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.04.10,00:00,3,9,GWF,14,0,kWh,energy,instant.,0,1,0
01.04.10,00:00,3,9,GWF,15,0,m^3,volume,instant.,0,1,0
01.04.10,00:00,3,9,GWF,16,0,m^3,volume,instant.,1,1,0
01.04.10,00:00,3,9,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.04.10,00:00,3,9,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.04.10,00:00,3,9,GWF,19,00.00.00,,time point,instant.,0,1,0
01.04.10,00:00,3,9,GWF,20,$00,,M-Bus state,,,,
01.05.10,00:00,1,1,GWF,1,4150,kWh,energy,instant.,0,0,0
01.05.10,00:00,1,1,GWF,2,605.29,m^3,volume,instant.,0,0,0
01.05.10,00:00,1,1,GWF,3,594.51,m^3,volume,instant.,1,0,0
01.05.10,00:00,1,1,GWF,4,32,°C,flow temperature,instant.,0,0,0
01.05.10,00:00,1,1,GWF,5,32,°C,return temperature,instant.,0,0,0
01.05.10,00:00,1,1,GWF,6,0.2,K,temperature difference,instant.,0,0,0
01.05.10,00:00,1,1,GWF,7,3255,hours,on time,instant.,0,0,0
01.05.10,00:00,1,1,GWF,8,3255,hours,operating time,instant.,0,0,0
01.05.10,00:00,1,1,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.05.10,00:00,1,1,GWF,10,0,kW,power,instant.,0,0,0
01.05.10,00:00,1,1,GWF,11,30.04.10 23:48 Win  V,,time point,instant.,0,0,0
